state,date,num_companies,min_value,max_value,value_range,total_value_Demand,total_value_Generation,total_value_Interchange,avg_value_Demand,avg_value_Generation,avg_value_Interchange
VA,2024-09-18,1,4010,4010,0,0,0,4010,0,0,4010
OR,2024-08-03,1,-42122,-41604,518,0,0,-83726,0,0,-41863
FL,2024-09-25,4,58825,837307,778482,0,5000469,0,0,357176.35714285716,0
CO,2024-03-27,1,120304,128245,7941,0,618911,0,0,123782.2,0
TX,2024-05-06,2,1276155,1283957,7802,0,6400879,0,0,1280175.8,0
TX,2024-05-17,2,-79,-79,0,0,0,-237,0,0,-79
FL,2024-12-06,4,37319,596120,558801,0,3291026,0,0,329102.6,0
WA,2024-10-24,3,-55310,2523,57833,0,0,-91209,0,0,-13029.857142857143
NC,2024-02-11,3,13504,239788,226284,1008578,0,0,144082.57142857142,0,0
NC,2024-11-12,3,12167,251912,239745,0,1348160,0,0,134816,0
WA,2024-08-18,2,18800,21307,2507,101540,0,0,20308,0,0
VA,2024-07-24,1,86574,87114,540,260546,0,0,86848.66666666667,0,0
AZ,2024-12-19,1,-23032,-22567,465,0,0,-45599,0,0,-22799.5
NY,2024-12-16,2,421144,423368,2224,2111768,0,0,422353.6,0,0
NY,2024-01-15,2,435467,435609,142,1742152,0,0,435538,0,0
TX,2024-05-06,2,-765,68,833,0,0,-1296,0,0,-259.2
WA,2024-04-15,3,-40459,-3764,36695,0,0,-88504,0,0,-14750.666666666666
VA,2024-01-24,1,57439,62727,5288,0,239970,0,0,59992.5,0
WA,2024-04-19,2,24167,52367,28200,204275,0,0,40855,0,0
NC,2024-06-22,3,-1056,7639,8695,0,0,16355,0,0,2725.8333333333335
VA,2024-04-24,1,8873,8942,69,0,0,26738,0,0,8912.666666666666
FL,2024-01-05,3,43149,337370,294221,0,1719858,0,0,191095.33333333334,0
AZ,2024-03-12,1,70424,70481,57,211386,0,0,70462,0,0
AZ,2024-04-14,1,-11725,-11669,56,0,0,-35063,0,0,-11687.666666666666
VA,2024-04-21,1,5296,5347,51,0,0,10643,0,0,5321.5
WA,2024-10-26,3,-50305,562,50867,0,0,-60599,0,0,-12119.8
FL,2024-04-01,4,-26387,5044,31431,0,0,-81763,0,0,-9084.777777777777
TN,2024-03-05,2,-8922,-8180,742,0,0,-42955,0,0,-8591
FL,2024-06-25,4,56599,873220,816621,0,2276691,0,0,252965.66666666666,0
CO,2024-12-26,1,6387,7307,920,0,0,20638,0,0,6879.333333333333
FL,2024-05-19,4,54232,776511,722279,2075177,0,0,296453.85714285716,0,0
TX,2024-05-16,2,1232017,1238769,6752,7407677,0,0,1234612.8333333333,0,0
CA,2024-09-20,2,51081,596907,545826,750558,0,0,187639.5,0,0
NY,2024-02-10,1,-35665,-34410,1255,0,0,-105740,0,0,-35246.666666666664
CA,2024-12-04,2,559181,679284,120103,1798080,0,0,599360,0,0
TX,2024-05-15,2,1958,2047,89,0,0,5993,0,0,1997.6666666666667
NC,2024-12-25,3,12745,289343,276598,0,1687836,0,0,210979.5,0
FL,2024-11-13,4,50455,650688,600233,1736174,0,0,289362.3333333333,0,0
GA,2024-11-25,1,573326,595029,21703,0,2910185,0,0,582037,0
NY,2024-08-20,2,395749,399007,3258,1192062,0,0,397354,0,0
TN,2024-07-08,2,-42250,-40154,2096,0,0,-124654,0,0,-41551.333333333336
OR,2024-06-14,1,53152,53152,0,53152,0,0,53152,0,0
GA,2024-10-12,1,509841,509841,0,509841,0,0,509841,0,0
FL,2024-01-24,4,42555,597865,555310,0,2593101,0,0,235736.45454545456,0
CA,2024-10-03,2,60091,745461,685370,2408305,0,0,401384.1666666667,0,0
AZ,2024-05-28,1,101025,101025,0,101025,0,0,101025,0,0
AZ,2024-06-06,1,68433,128361,59928,0,522256,0,0,104451.2,0
GA,2024-12-21,1,688645,696067,7422,2078080,0,0,692693.3333333334,0,0
CA,2024-06-27,3,50326,802662,752336,0,4558808,0,0,379900.6666666667,0
TN,2024-07-04,2,-38287,-37666,621,0,0,-113986,0,0,-37995.333333333336
NC,2024-02-01,3,-2139,6296,8435,0,0,24283,0,0,4047.1666666666665
NY,2024-03-12,2,362787,364072,1285,726859,0,0,363429.5,0,0
NC,2024-09-02,3,12852,317638,304786,0,2205339,0,0,183778.25,0
TX,2024-05-20,2,1374042,1374042,0,2748084,0,0,1374042,0,0
CA,2024-06-03,3,52188,702063,649875,3989121,0,0,569874.4285714285,0,0
AZ,2024-12-30,1,79352,79519,167,238390,0,0,79463.33333333333,0,0
GA,2024-12-04,1,25788,25788,0,0,0,25788,0,0,25788
TX,2024-06-15,2,1469671,1477425,7754,0,14730605,0,0,1473060.5,0
FL,2024-01-10,4,43484,561844,518360,1581677,0,0,316335.4,0,0
WA,2024-07-10,3,-47507,3316,50823,0,0,-143976,0,0,-20568
AZ,2024-04-20,1,51523,79872,28349,0,211176,0,0,70392,0
AZ,2024-02-11,1,52234,79019,26785,0,131253,0,0,65626.5,0
NC,2024-02-18,3,-4142,18848,22990,0,0,6972,0,0,1394.4
FL,2024-07-25,4,58153,916137,857984,0,4714317,0,0,471431.7,0
VA,2024-10-16,1,-2931,-2931,0,0,0,-2931,0,0,-2931
CO,2024-08-01,1,160231,166356,6125,0,981310,0,0,163551.66666666666,0
TN,2024-11-05,2,402169,402795,626,1207759,0,0,402586.3333333333,0,0
FL,2024-02-02,4,-36357,15770,52127,0,0,-42033,0,0,-5254.125
TN,2024-11-02,2,359830,359830,0,1079490,0,0,359830,0,0
VA,2024-09-25,1,-4367,-4367,0,0,0,-4367,0,0,-4367
WA,2024-02-10,3,16752,77015,60263,0,499597,0,0,33306.46666666667,0
TX,2024-10-08,1,1310387,1315501,5114,2625888,0,0,1312944,0,0
GA,2024-05-25,1,645929,673790,27861,0,3333422,0,0,666684.4,0
OR,2024-12-31,1,-46866,-46747,119,0,0,-140447,0,0,-46815.666666666664
NC,2024-11-08,3,9653,265438,255785,831696,0,0,138616,0,0
VA,2024-05-13,1,57033,61805,4772,0,176035,0,0,58678.333333333336,0
NY,2024-04-03,2,392206,409290,17084,0,3192951,0,0,399118.875,0
AZ,2024-04-03,1,-25779,-25779,0,0,0,-25779,0,0,-25779
WA,2024-12-08,3,-51581,5925,57506,0,0,-77246,0,0,-12874.333333333334
WA,2024-03-10,2,26111,55337,29226,245255,0,0,40875.833333333336,0,0
GA,2024-09-29,1,28519,29270,751,0,0,57789,0,0,28894.5
NY,2024-04-26,2,325054,325795,741,1951897,0,0,325316.1666666667,0,0
CO,2024-06-03,1,-5348,-5348,0,0,0,-5348,0,0,-5348
OR,2024-01-17,1,27518,27551,33,0,55069,0,0,27534.5,0
CO,2024-01-21,1,118692,121176,2484,0,479623,0,0,119905.75,0
AZ,2024-09-07,1,133917,134178,261,402107,0,0,134035.66666666666,0,0
CA,2024-09-05,3,57209,1076492,1019283,0,5812561,0,0,581256.1,0
TX,2024-08-12,2,791,900,109,0,0,2555,0,0,851.6666666666666
TN,2024-02-06,2,3892,4200,308,0,0,12292,0,0,4097.333333333333
FL,2024-05-20,4,56168,776800,720632,2387686,0,0,341098,0,0
CA,2024-09-13,3,43593,804413,760820,0,4918709,0,0,491870.9,0
NC,2024-06-10,3,11743,306078,294335,0,1831563,0,0,152630.25,0
CA,2024-04-13,3,27803,573890,546087,0,4202005,0,0,323231.1538461539,0
AZ,2024-01-30,1,-18869,-18841,28,0,0,-56579,0,0,-18859.666666666668
CO,2024-12-08,1,112698,112698,0,112698,0,0,112698,0,0
TN,2024-04-16,1,425190,425190,0,425190,0,0,425190,0,0
NY,2024-02-14,2,417484,418127,643,1671222,0,0,417805.5,0,0
NY,2024-09-21,2,-58060,-55739,2321,0,0,-395669,0,0,-56524.142857142855
WA,2024-01-16,3,21293,64983,43690,123109,0,0,41036.333333333336,0,0
OR,2024-02-18,1,-42041,-42041,0,0,0,-42041,0,0,-42041
