company_code,date,avg_value,measurement_types
AECI,2024-01-01,70835.11111111111,4
AECI,2024-01-02,60061.666666666664,3
AECI,2024-01-03,58176.166666666664,4
AECI,2024-01-04,80348.42857142857,3
AECI,2024-01-05,60292.333333333336,4
AECI,2024-01-06,70207.25,4
AECI,2024-01-07,65061.444444444445,4
AECI,2024-01-08,65651.3,4
AECI,2024-01-09,75553.3,4
AECI,2024-01-10,77295.16666666667,3
AECI,2024-01-11,66029.16666666667,4
AECI,2024-01-12,90118.85714285714,3
AECI,2024-01-13,75185.33333333333,4
AECI,2024-01-14,100338.33333333333,4
AECI,2024-01-15,61044.4,4
AECI,2024-01-16,121679.75,3
AECI,2024-01-17,75347.25,4
AECI,2024-01-18,65720.1,4
AECI,2024-01-19,78150.72727272728,4
AECI,2024-01-20,83071.4,4
AECI,2024-01-21,63489.375,4
AECI,2024-01-22,64096,3
AECI,2024-01-23,81003.66666666667,3
AECI,2024-01-24,56928.42857142857,4
AECI,2024-01-25,46763.2,3
AECI,2024-01-26,75230.33333333333,2
AECI,2024-01-27,64822.27272727273,4
AECI,2024-01-28,56360.142857142855,4
AECI,2024-01-29,47396.5,3
AECI,2024-01-30,54371.75,4
AECI,2024-01-31,50546,3
AECI,2024-02-01,43805.692307692305,4
AECI,2024-02-02,49070.833333333336,4
AECI,2024-02-03,35251.36363636364,4
AECI,2024-02-04,28539.8,3
AECI,2024-02-05,54581.666666666664,4
AECI,2024-02-06,38858.11111111111,4
AECI,2024-02-07,44644.125,4
AECI,2024-02-08,37549,4
AECI,2024-02-09,36275.875,4
AECI,2024-02-10,53300.4,3
AECI,2024-02-11,33428.375,4
AECI,2024-02-12,33307.4,4
AECI,2024-02-13,50542.8,3
AECI,2024-02-14,34572.57142857143,3
AECI,2024-02-15,48313.555555555555,4
AECI,2024-02-16,62795.88888888889,4
AECI,2024-02-17,50482.42857142857,4
AECI,2024-02-18,29137.333333333332,2
AECI,2024-02-19,65874.22222222222,3
AECI,2024-02-20,38634.9,4
AECI,2024-02-21,32925.5,4
AECI,2024-02-22,47161.333333333336,3
AECI,2024-02-23,35459.5,4
AECI,2024-02-24,46989.666666666664,4
AECI,2024-02-25,37206.75,4
AECI,2024-02-26,36551.333333333336,4
AECI,2024-02-27,42633.7,4
AECI,2024-02-28,56604.333333333336,3
AECI,2024-02-29,54366.666666666664,4
AECI,2024-03-01,58008.142857142855,3
AECI,2024-03-02,37311.11111111111,4
AECI,2024-03-03,35797.833333333336,4
AECI,2024-03-04,28753.4,4
AECI,2024-03-05,47117.5,3
AECI,2024-03-06,42413.916666666664,4
AECI,2024-03-07,36061.2,4
AECI,2024-03-08,34573,4
AECI,2024-03-09,44538,4
AECI,2024-03-10,24734.125,3
AECI,2024-03-11,24425.833333333332,3
AECI,2024-03-12,31503.5,4
AECI,2024-03-13,43034.4,3
AECI,2024-03-14,22079.85714285714,4
AECI,2024-03-15,40905,4
AECI,2024-03-16,39764.5,4
AECI,2024-03-17,38330,4
AECI,2024-03-18,55217.6,4
AECI,2024-03-19,44361.8,3
AECI,2024-03-20,43253.666666666664,4
AECI,2024-03-21,52671.42857142857,3
AECI,2024-03-22,39512.88888888889,4
AECI,2024-03-23,43779.833333333336,4
AECI,2024-03-24,29459.4,4
AECI,2024-03-25,48095,3
AECI,2024-03-26,41961.416666666664,4
AECI,2024-03-27,36448.5,4
AECI,2024-03-28,38922.454545454544,4
AECI,2024-03-29,34456.8,4
AECI,2024-03-30,30870.625,4
AECI,2024-03-31,25951.75,3
AECI,2024-04-01,41218.555555555555,4
AECI,2024-04-02,35793.875,4
AECI,2024-04-03,13656.666666666666,2
AECI,2024-04-04,25413,3
AECI,2024-04-05,40951.72727272727,4
AECI,2024-04-06,36372,4
AECI,2024-04-07,31006.625,3
AECI,2024-04-08,45895.6,3
AECI,2024-04-09,28852,3
