measurement_category,state,records,companies,avg_value,total_value,min_value,max_value,value_range,std_dev,cv
Generation,NA,60862,51,501696.6257763465,30534260038,-167,14899049,14899216,1589763.7199802222,3.168774989307841
Demand,NA,27592,43,632702.6792548564,17457532326,-32923,14816984,14849907,1878636.4281176422,2.9692247080890204
Generation,TX,2677,2,1271005.8599178186,3402482687,938296,1749601,811305,196398.0399971158,0.15452174233863455
Demand,TX,1270,2,1265710.901574803,1607452845,978052,1756884,778832,189463.2841697272,0.14968922518878217
Generation,FL,4861,4,316161.22238222585,1536859702,34102,972302,938200,273838.40232221567,0.8661353225385634
Generation,CA,3667,3,411421.5677665667,1508682889,20863,1105889,1085026,299588.6454399716,0.7281792421975137
Generation,TN,2683,2,441996.1215057771,1185875594,324048,725354,401306,66827.6081614445,0.15119501034031366
Generation,GA,1527,1,667003.3267845449,1018514080,487267,963706,476439,103817.58080834102,0.15564777061730628
Generation,NY,2592,2,384812.47106481483,997433925,269512,596679,327167,59274.17098438149,0.1540339137667859
Demand,CA,2029,3,413562.977821587,839119282,36452,1067941,1031489,306181.6072916436,0.7403506206102709
Demand,FL,2627,4,287797.54130186525,756044141,36300,918725,882425,251892.77799126858,0.8752429810616872
Generation,NC,3842,3,171401.19911504423,658523407,1578,420889,419311,117842.11644507135,0.6875221238445123
Demand,TN,1151,2,454528.1277150304,523161875,341944,760580,418636,73475.70618103602,0.16165271564250064
Demand,NY,1179,2,398688.58863443596,470053846,13032,599168,586136,67252.37501080384,0.1686839727245583
Demand,GA,610,1,643253.9213114755,392384892,485912,944567,458655,98152.20831957994,0.1525870345562228
Demand,NC,1925,3,160989.3142857143,309904430,5056,411755,406699,116697.59355003183,0.724877884397494
Interchange,NA,32878,51,9166.943731370522,301390776,-196813,246539,443352,43415.398312275756,4.736082121209317
Generation,CO,1330,1,129518.51203007519,172259621,97356,183290,85934,14574.32067779466,0.11252693108773819
Generation,WA,3653,3,30473.108677799068,111318266,5828,114194,108366,21128.6777285109,0.693354851056073
Generation,AZ,1366,1,79406.1383601757,108468785,36820,153310,116490,27942.49572848055,0.35189339647442747
Generation,VA,1334,1,69130.9827586207,92220731,48348,99712,51364,11641.108396524254,0.1683920571065887
Demand,CO,677,1,118111.22008862629,79961296,93910,154881,60971,13166.94855866232,0.11147923583197539
Demand,AZ,720,1,96595.30694444444,69548621,64199,150424,86225,26260.148284655203,0.2718573926138916
Demand,WA,1934,3,30300.070837642194,58600337,14769,72635,57866,15119.199255753461,0.49898230722849246
Generation,OR,1260,1,44662.66507936508,56274958,6590,86870,80280,21369.19640562023,0.4784577088637097
Demand,OR,686,1,62045.59766763848,42563280,49131,86750,37619,6695.961793287237,0.10792001439257136
Demand,VA,656,1,64576.73780487805,42362340,48569,90783,42214,10407.62600577994,0.16116679720222352
Interchange,GA,559,1,28429.520572450805,15892102,-12634,75862,88496,14235.341712420495,0.5007239455953062
Interchange,NC,1966,3,4496.198372329603,8839526,-29400,47462,76862,11573.002783165335,2.5739528874854884
Interchange,CO,713,1,9275.444600280505,6613392,-5348,22514,27862,5027.321767001102,0.5420033199108393
Interchange,VA,491,1,3769.2423625254582,1850698,-9232,11918,21150,3640.2273415658237,0.9657716303301886
Interchange,TX,1293,2,361.6658932714617,467634,-13749,16366,30115,3857.9744717285525,10.667233331932705
Interchange,AZ,649,1,-36531.27272727273,-23708796,-77205,-8790,68415,16249.14205611374,-0.44480087451162925
Interchange,TN,1293,2,-19987.47486465584,-25843805,-88340,13372,101712,18277.710929244633,-0.9144582321184249
Interchange,OR,667,1,-41298.34782608696,-27545998,-60270,-25746,34524,5602.960396626295,-0.13567032802912926
Interchange,FL,2601,4,-10637.438292964245,-27667977,-54489,33391,87880,17074.814325247335,-1.6051622444231581
Interchange,WA,1916,3,-19053.289665970773,-36506103,-77103,15436,92539,21905.02245800635,-1.1496714132850654
Interchange,NY,1283,2,-55996.717069368664,-71843788,-115422,-14772,100650,21537.216825060146,-0.38461570520964417
Interchange,CA,1955,3,-69808.12787723786,-136474890,-216618,9599,226217,53894.78115221599,-0.7720416345642942
