location,records,start_date,end_date,avg_temp,missing_values
"Austin, TX",8784,NA,NA,21.751138433515482,0
"Boston, MA",8784,NA,NA,11.195594262295081,0
"Charlotte, NC",8784,NA,NA,16.42011612021858,0
"Chicago, IL",8784,NA,NA,11.422131147540984,0
"Columbus, OH",8784,NA,NA,13.244319216757741,0
"Dallas, TX",8784,NA,NA,20.474168943533698,0
"Denver, CO",8784,NA,NA,10.428073770491803,0
"Fort Worth, TX",8784,NA,NA,20.66974043715847,0
"Houston, TX",8784,NA,NA,21.743032786885244,0
"Indianapolis, IN",8784,NA,NA,13.412704918032787,0
"Jacksonville, FL",8784,NA,NA,21.237181238615666,0
"Los Angeles, CA",8784,NA,NA,17.12856329690346,0
"New York, NY",8784,NA,NA,12.921653005464481,0
"Philadelphia, PA",8784,NA,NA,13.924567395264116,0
"Phoenix, AZ",8784,NA,NA,24.099863387978143,0
"San Antonio, TX",8784,NA,NA,22.478085154826957,0
"San Diego, CA",8784,NA,NA,16.61485655737705,0
"San Francisco, CA",8784,NA,NA,13.838456284153006,0
"San Jose, CA",8784,NA,NA,15.996960382513661,0
"Seattle, WA",8784,NA,NA,10.961942167577414,0
