location,type,records,avg_temp,total_value
"Austin, TX",D,729,71.18132358203614,923778151
"Austin, TX",DF,733,71.11185360934812,932046966
"Austin, TX",NG,687,71.01015805961649,869780090
"Austin, TX",TI,383,71.0679435804291,111628
"Boston, MA",D,1031,52.24430946715881,425875402
"Boston, MA",DF,784,52.0568622594919,312187829
"Boston, MA",NG,130,50.61341220735786,44818870
"Boston, MA",TI,334,52.18118460447526,-18967849
"Chicago, IL",D,820,52.058189101133,1444017224
"Chicago, IL",DF,1023,52.687738043310496,1849156039
"Chicago, IL",NG,485,51.520998159899975,842532694
"Chicago, IL",TI,986,52.94564758448949,-63979111
"Columbus, OH",D,820,55.39151874616286,1444017224
"Columbus, OH",DF,1023,55.90014095707201,1849156039
"Columbus, OH",NG,485,55.19841555592253,842532694
"Columbus, OH",TI,986,56.1354961451163,-63979111
"Dallas, TX",D,729,68.8934471377047,923778151
"Dallas, TX",DF,733,68.79890433346549,932046966
"Dallas, TX",NG,687,68.71407737351733,869780090
"Dallas, TX",TI,383,68.6540080121407,111628
"Denver, CO",D,181,49.98813845657863,17273992
"Denver, CO",DF,378,51.037174367077114,29382644
"Denver, CO",NG,596,50.96751396610508,58014353
"Denver, CO",TI,391,50.9915174521704,1751089
"Fort Worth, TX",D,729,69.24678539141735,923778151
"Fort Worth, TX",DF,733,69.15298761242629,932046966
"Fort Worth, TX",NG,687,69.05221293455777,869780090
"Fort Worth, TX",TI,383,68.99304479270603,111628
"Houston, TX",D,729,71.17371135501125,923778151
"Houston, TX",DF,733,71.10070397351407,932046966
"Houston, TX",NG,687,70.99354900922327,869780090
"Houston, TX",TI,383,71.12962429273888,111628
"Indianapolis, IN",D,820,55.63743142685718,1444017224
"Indianapolis, IN",DF,1023,56.24525336035486,1849156039
"Indianapolis, IN",NG,485,55.338388355469576,842532694
"Indianapolis, IN",TI,986,56.49436530186919,-63979111
"Jacksonville, FL",D,746,70.14994292979797,295815737
"Jacksonville, FL",DF,726,70.26415832970856,290458172
"Jacksonville, FL",NG,727,70.20310856345156,294465154
"Jacksonville, FL",TI,53,67.18435808039376,559141
"Los Angeles, CA",D,1099,62.82865732421611,672538019
"Los Angeles, CA",DF,1090,62.846934331240945,638695271
"Los Angeles, CA",NG,1211,62.8630889519602,631976487
"Los Angeles, CA",TI,696,63.034403160261974,-60813744
"New York, NY",D,1031,55.318531179876906,425875402
"New York, NY",DF,784,55.18059098152991,312187829
"New York, NY",NG,130,54.18085618729097,44818870
"New York, NY",TI,334,55.26921092026473,-18967849
"Philadelphia, PA",D,1031,57.14956129438216,425875402
"Philadelphia, PA",DF,784,56.94758824954467,312187829
"Philadelphia, PA",NG,130,55.533848662207355,44818870
"Philadelphia, PA",TI,334,57.196364639142764,-18967849
"Phoenix, AZ",D,112,76.07149941770186,10716325
"Phoenix, AZ",DF,631,74.39364173499621,59938844
"Phoenix, AZ",NG,1198,75.71699535457647,197089658
"Phoenix, AZ",TI,720,75.54462273550725,47417508
"San Antonio, TX",D,729,72.48902673013721,923778151
"San Antonio, TX",DF,733,72.41967012777808,932046966
"San Antonio, TX",NG,687,72.32601318537468,869780090
"San Antonio, TX",TI,383,72.39050594188957,111628
"San Diego, CA",D,1099,61.90412537505492,672538019
"San Diego, CA",DF,1090,61.92270690487687,638695271
"San Diego, CA",NG,1211,61.90939178809048,631976487
"San Diego, CA",TI,696,62.04194088810858,-60813744
"San Francisco, CA",D,1099,56.90799134016154,672538019
"San Francisco, CA",DF,1090,56.898972959922745,638695271
"San Francisco, CA",NG,1211,56.90296285763416,631976487
"San Francisco, CA",TI,696,56.955391506549354,-60813744
"San Jose, CA",D,1099,60.791291802616485,672538019
"San Jose, CA",DF,1090,60.81933667310478,638695271
"San Jose, CA",NG,1211,60.79362251916547,631976487
"San Jose, CA",TI,696,60.89897599719877,-60813744
"Seattle, WA",D,976,51.77482991686049,157466151
"Seattle, WA",NG,2,46.59728260869565,440838
"Seattle, WA",TI,730,51.748440409391556,114736789
