state,total_records,num_companies,total_energy_gwh,avg_daily_energy,generation_pct,demand_pct,max_daily_value,days_covered
TX,5240,2,5010403.166,956183.8103053435,67.90836134882005,32.08230539027246,1756884,366
FL,10089,4,2265235.866,224525.3113291704,67.84546038085732,33.37595666516787,972302,366
CA,7651,3,2211327.281,289024.6086786041,68.22521939483094,37.94640844029817,1105889,366
TN,5127,2,1683193.664,328299.9149600156,70.45390078179382,31.081502158030936,760580,366
GA,2696,1,1426791.074,529225.1758160237,71.38494896415366,27.501215780664463,963706,366
NY,5054,2,1395643.983,276146.4153146023,71.46764770596944,33.68006824989837,599168,366
NC,7733,3,977267.363,126376.22694943748,67.38416035694421,31.71132504094481,420889,366
CO,2720,1,258834.309,95159.67242647058,66.552081779854,30.892850452835447,183290,366
AZ,2735,1,154308.61,56419.967093235835,70.29341071765212,45.07112143645128,153310,366
VA,2481,1,136433.769,54991.442563482466,67.59377218406976,31.04974692885601,99712,366
WA,7503,3,133412.5,17781.220844995336,83.43915750023424,43.92417277241638,114194,366
OR,2613,1,71292.24,27283.673938002295,78.93560084519717,59.70254266102454,86870,366
