location_name,state,records,avg_temp_f,max_temp_f,min_temp_f,total_precip_mm,avg_humidity,avg_wind_speed,extreme_heat_days,extreme_cold_days
"Phoenix, AZ",AZ,8784,75.37975409836065,116.41999999999999,30.38,176,33.3122723132969,9.16049635701275,74.125,0
"San Antonio, TX",TX,8784,72.46055327868852,105.08000000000001,18.5,965,65.0297131147541,12.063046448087432,12.583333333333334,0.16666666666666666
"Austin, TX",TX,8784,71.15204918032786,104.9,17.6,1212.7,67.66848816029145,12.329963570127505,9.291666666666666,0.4583333333333333
"Houston, TX",TX,8784,71.13745901639344,97.52,18.68,2103,76.56807832422587,12.263422131147541,0.875,0.08333333333333333
"Jacksonville, FL",FL,8784,70.2269262295082,98.78,29.48,1375,77.13934426229508,12.006648451730419,0.75,0
"Fort Worth, TX",TX,8784,69.20553278688524,107.6,11.479999999999997,960.7,62.66245446265938,13.806796448087432,15.958333333333334,1.875
"Dallas, TX",TX,8784,68.85350409836066,106.52,10.940000000000001,1292.8,65.62124316939891,14.010735428051001,12.791666666666666,2.0833333333333335
"Los Angeles, CA",CA,8784,62.83141393442623,113.72,35.42,523.2,66.59323770491804,7.95226548269581,2.625,0
"San Diego, CA",CA,8784,61.90674180327869,93.74,37.04,367.8,74.40972222222223,9.381386612021858,0,0
"Charlotte, NC",NC,8784,61.556209016393446,98.96000000000001,17.240000000000002,1245.7,69.72700364298726,10.610496357012751,2.0416666666666665,0.75
"San Jose, CA",CA,8784,60.79452868852459,106.34,33.08,633.6,65.60701275045537,8.522188069216758,3.0416666666666665,0
"Philadelphia, PA",PA,8784,57.06422131147541,98.96000000000001,10.399999999999999,1127.7,66.68658925318762,11.387875683060109,2.1666666666666665,3.0416666666666665
"San Francisco, CA",CA,8784,56.90922131147541,100.22,39.92,799,77.47290528233151,14.83224043715847,0.2916666666666667,0
"Indianapolis, IN",IN,8784,56.14286885245902,94.46000000000001,-2.740000000000002,1155.6,69.5004553734062,12.120218579234972,0,10.5
"Columbus, OH",OH,8784,55.839774590163934,95,6.979999999999997,1084.6,69.81329690346084,10.832081056466302,0.08333333333333333,7.541666666666667
"New York, NY",NY,8784,55.25897540983607,97.16,5,1291.9,68.83378870673953,12.401263661202186,0.5416666666666666,4.291666666666667
"Chicago, IL",IL,8784,52.55983606557377,96.44,-13.36,1030.8,72.43602003642987,16.700910746812387,0.375,13.916666666666666
"Boston, MA",MA,8784,52.15206967213115,96.26,6.259999999999998,1204.3,71.59642531876139,12.854690346083789,0.2916666666666667,7.166666666666667
"Seattle, WA",WA,8784,51.73149590163934,89.96000000000001,13.100000000000001,1162.1,77.94877049180327,11.564719945355192,0,1.7083333333333333
"Denver, CO",CO,8784,50.77053278688525,100.76,-33.88000000000001,385.3,52.517531876138435,8.434631147540983,2.875,20.375
