energy_region,season,n_obs,mean_demand,median_demand,sd_demand,min_demand,max_demand,mean_temp,temp_range,temp_sd
BPAT,Fall,233,151150.82832618026,146091,13285.245444881548,132777,182678,53.52082244821795,29.340000000000003,7.042916404913622
BPAT,Spring,249,155060.51004016065,152855,12020.369267686914,135269,190929,48.331265060240966,26.625,5.078733074613141
BPAT,Summer,247,156265.05668016194,154074,9492.4253870379,137856,185196,63.63782388663967,22.755000000000003,5.13706496252713
BPAT,Winter,247,182350.0890688259,177606,18354.56944547106,151892,253923,41.73625452802045,35.3925,6.1539102255025
CISO,Fall,1092,633576.8021978022,606433,83781.22655693947,523191,902304,63.535422539417105,49.934999999999995,7.5634084300052145
CISO,Spring,1108,527853.7220216607,527054,33288.05648216603,449514,614221,57.589681859205776,25.71,4.216236937474298
CISO,Summer,1104,718521.6050724637,728056,76870.24641308346,529055,877916,67.85911005434782,30.5175,5.458051827772388
CISO,Winter,1092,567927.1355311355,567820,33661.602343252365,478334,641343,53.41239372469636,20.182499999999997,3.5834257727807968
ERCO,Fall,900,1260323.3333333333,1287079.5,128890.77030674835,1050399,1555351,73.59429057971015,44.505,9.041952379311377
ERCO,Spring,920,1154654.5054347827,1115909,132285.74862551285,940120,1487240,70.14095652173913,37.177499999999995,7.8841257111921585
ERCO,Summer,920,1510778.0489130435,1508282.5,114391.30237836293,1192360,1701086,84.43615217391304,20.33250000000001,4.1388884247448745
ERCO,Winter,905,1140775.4751381215,1117331,136486.89022042262,981453,1739798,54.01077231753417,58.545,10.377860161260381
FPL,Fall,182,405619.64285714284,403321.5,58077.16572406278,279976,506436,72.13732680363115,33.652499999999996,7.119858190176653
FPL,Spring,192,384437.2604166667,365561.5,58931.73728305355,301340,503640,70.7723046875,27.779999999999994,7.008823038645359
FPL,Summer,186,478400.60752688174,482545,28959.421222970886,408494,534338,81.67012096774194,10.78500000000001,2.084638770352139
FPL,Winter,186,318271.4784946237,317210.5,16832.113277161923,285113,369122,56.04268251273345,32.415,7.36992393106817
MISO,Fall,651,1671118.4377880185,1647526,114946.15041172193,1479024,2013155,56.968871969545184,57.2925,11.426402292968262
MISO,Spring,648,1606661.3287037036,1608088.5,99072.16387528826,1410115,1901595,54.485914351851854,46.4175,11.432655937123979
MISO,Summer,579,2004828.5492227979,1998228,162456.4832104147,1615318,2377162,73.33279792746114,29.35499999999999,5.397451316848218
MISO,Winter,582,1790792.6082474226,1756249,171025.4622231078,1507916,2327242,32.43669424850787,68.07000000000001,11.396578042952276
NYIS,Fall,756,378078.90873015876,376774,24392.671609575402,327489,437020,57.99616761559697,43.425,9.642250195454585
NYIS,Spring,765,366159.5882352941,363846,26126.424084768878,318298,436666,52.06467647058823,45.682500000000005,10.365164133037746
NYIS,Summer,786,481410.17175572517,475314.5,59978.33353552868,360183,596679,74.75871183206107,24.997500000000002,5.559149704087718
NYIS,Winter,786,424043.3473282443,423685.5,24998.413832692408,365730,499812,34.83913318601848,45.555,8.130724122272921
SRP,Fall,35,85184.08571428571,75637,19442.640838799514,69620,127538,70.09086956521739,41.1675,13.31155410678347
SRP,Spring,35,82278.97142857143,82381,13292.453078800047,64520,107877,72.41214285714285,35.94,11.623946618037765
SRP,Summer,28,135900.25,139188.5,12049.869474089443,108348,150670,96.91035714285715,13.245000000000005,3.8152669506552113
SRP,Winter,14,74993.64285714286,74131.5,3047.5048963712256,70861,80766,58.49375,17.639999999999993,4.234642246037211
WACM,Fall,41,90983.65853658537,90756,5211.229190938334,79617,102396,47.77789236479321,42.517500000000005,13.929417847494832
WACM,Spring,32,88238.71875,87986.5,3984.3652121954415,81259,97227,44.035859375,45.097500000000004,11.605883512277488
WACM,Summer,52,103262.76923076923,102583.5,5196.213457763502,93078,112067,74.95524038461538,15.570000000000007,3.75183779344698
WACM,Winter,56,95542.125,94547,5350.3338079804125,86010,106931,31.82391917293233,31.694999999999997,7.388123295846005
